Feature 1,Feature 2,Absolute Correlation
Fwd Pkt Len Min,Bwd Pkt Len Min,0.7948228164602148
Fwd Pkt Len Std,Pkt Len Std,0.7923495570021035
Fwd IAT Mean,Fwd IAT Max,0.7901092680096928
Flow IAT Max,Fwd IAT Mean,0.7731959082630162
Active Max,Active Min,0.7709419487609069
Fwd Pkt Len Max,Fwd Act Data Pkts,0.7608473205790885
Bwd IAT Tot,Bwd IAT Std,0.7559882497182439
Fwd Pkt Len Max,Pkt Len Std,0.7535293208715614
Bwd IAT Tot,Bwd IAT Max,0.7513727253206193
Fwd IAT Tot,Fwd IAT Max,0.7504671973710839
Bwd Pkt Len Mean,Bwd Pkt Len Std,0.7501194195477024
Bwd Pkt Len Std,Bwd Seg Size Avg,0.7501194195477024
Bwd IAT Mean,Bwd IAT Min,0.7494072716062194
Fwd Pkt Len Max,Bwd Pkt Len Std,0.7489477681722099
Flow Duration,Flow IAT Max,0.7489005891309628
Flow IAT Mean,Flow IAT Max,0.7460845379696676
Bwd Pkt Len Std,Pkt Len Mean,0.7447470728019757
Fwd Pkt Len Mean,Pkt Len Max,0.7445360442524086
Pkt Len Max,Fwd Seg Size Avg,0.7445360442524086
Flow Duration,Fwd IAT Max,0.7443998198513274
Bwd IAT Max,Idle Max,0.7439085873400103
Flow IAT Max,Idle Max,0.7438537647919681
Flow IAT Mean,Fwd IAT Max,0.7427103100825178
Flow IAT Max,Idle Mean,0.7392580960524925
Bwd Pkt Len Max,Pkt Len Mean,0.7388380557864953
Pkt Len Max,Pkt Len Mean,0.7379142096164958
Flow Pkts/s,Bwd Pkts/s,0.733886509592809
Flow IAT Max,Fwd IAT Tot,0.7319634824446748
Bwd Pkt Len Max,PSH Flag Cnt,0.7312938902711565
Bwd IAT Max,Idle Mean,0.7299303649556491
Flow IAT Max,Idle Min,0.7272554086992138
Bwd Pkt Len Std,PSH Flag Cnt,0.7265614377423728
Flow Duration,Idle Max,0.7230192592972404
Flow Duration,Idle Mean,0.7227790050585617
Pkt Len Max,PSH Flag Cnt,0.722155557283966
Bwd Pkt Len Max,Bwd Pkt Len Mean,0.7191121266545905
Bwd Pkt Len Max,Bwd Seg Size Avg,0.7191121266545905
Fwd IAT Std,Bwd IAT Std,0.7139308789463357
Bwd Pkt Len Std,Pkt Size Avg,0.7119317420434256
Fwd IAT Max,Idle Max,0.7118299795028724
Bwd Pkt Len Max,Pkt Size Avg,0.7084515222563769
Fwd IAT Max,Idle Mean,0.7083423465892816
Pkt Len Max,Pkt Size Avg,0.7079631730031645
Flow Duration,Idle Min,0.7066618324334553
Bwd IAT Max,Idle Min,0.7063523504499511
Pkt Len Max,Fwd Act Data Pkts,0.7046139341682965
Pkt Len Max,Bwd Seg Size Avg,0.7039369449427062
Bwd Pkt Len Mean,Pkt Len Max,0.7039369449427061
Fwd IAT Tot,Idle Mean,0.7026174857252627
Fwd IAT Tot,Idle Max,0.7014818421487604
Fwd IAT Max,Fwd IAT Min,0.6980125852691123
Fwd IAT Max,Idle Min,0.6973270923986891
Fwd IAT Std,Bwd IAT Max,0.6962032281660693
Flow IAT Min,Fwd IAT Max,0.6918040604255863
Fwd IAT Tot,Idle Min,0.6877287904851839
Fwd Pkt Len Std,PSH Flag Cnt,0.6853330119254886
Flow IAT Max,Fwd IAT Min,0.6834542828698795
TotLen Fwd Pkts,Pkt Len Var,0.6819269159371529
Pkt Len Var,Subflow Fwd Byts,0.6819269159371529
Bwd Pkt Len Max,Fwd Seg Size Avg,0.6816965936655719
Fwd Pkt Len Mean,Bwd Pkt Len Max,0.6816965936655719
Flow IAT Max,Flow IAT Min,0.6773174504346888
Bwd Pkt Len Max,Fwd Act Data Pkts,0.6765318104026583
Protocol,Fwd Seg Size Min,0.6762449463094686
Bwd IAT Std,Idle Max,0.6727502081193591
Fwd Pkt Len Mean,Pkt Len Std,0.6660605310852813
Pkt Len Std,Fwd Seg Size Avg,0.6660605310852813
Bwd IAT Std,Idle Mean,0.6652238705285807
Pkt Len Std,PSH Flag Cnt,0.6645819950489706
Fwd Pkt Len Max,PSH Flag Cnt,0.6599784969260755
Fwd IAT Std,Fwd IAT Max,0.6550522096515874
Bwd IAT Tot,Bwd IAT Mean,0.6549638966092282
Flow IAT Std,Idle Max,0.6484647192193211
Bwd IAT Std,Idle Min,0.6477267548551712
Pkt Len Min,Fwd Seg Size Min,0.6423431643996624
Flow IAT Std,Idle Mean,0.6415976970722027
Flow IAT Max,Fwd IAT Std,0.6402783884224322
Fwd Pkt Len Mean,Bwd Pkt Len Std,0.6371985570165807
Bwd Pkt Len Std,Fwd Seg Size Avg,0.6371985570165807
Flow Duration,Bwd IAT Std,0.6319378427240149
Init Fwd Win Byts,Fwd Seg Size Min,0.6296102783971038
Fwd IAT Tot,Fwd IAT Std,0.6294343925137802
Flow IAT Std,Bwd IAT Max,0.6293674998202052
Fwd IAT Std,Idle Max,0.6292674264496256
Flow Duration,Bwd IAT Max,0.6286570343409339
Bwd Pkt Len Min,Fwd Seg Size Min,0.6284344094462603
Flow IAT Std,Idle Min,0.626205659593801
Flow Duration,Fwd IAT Std,0.6259953785478702
Fwd Pkt Len Min,Fwd Seg Size Min,0.6252142137188851
Pkt Len Std,Pkt Len Var,0.6251608766823354
Flow IAT Std,Flow IAT Max,0.62342176530787
Active Std,Active Max,0.6224055094626211
Fwd IAT Std,Idle Mean,0.6213465594982063
ECE Flag Cnt,Init Bwd Win Byts,0.620415594810459
RST Flag Cnt,Init Bwd Win Byts,0.6204040043003866
Fwd IAT Tot,Bwd IAT Std,0.6170691839010718
Bwd IAT Mean,Bwd IAT Max,0.6123911055649045
Fwd IAT Tot,Bwd IAT Max,0.6102299286581996
Flow IAT Std,Bwd IAT Std,0.6091925455828067
Fwd IAT Std,Idle Min,0.6049792161920653
PSH Flag Cnt,Fwd Seg Size Min,0.6044547310845733
Pkt Len Max,Pkt Len Var,0.6040369418748328
Fwd Pkt Len Std,Fwd Act Data Pkts,0.6007724126732275
Flow Duration,Flow IAT Std,0.5956095391479489
Pkt Len Mean,Pkt Len Var,0.5882313774313048
Flow IAT Std,Bwd IAT Mean,0.586093811415751
Fwd IAT Std,Bwd IAT Tot,0.585758916872179
Fwd Pkt Len Std,Init Bwd Win Byts,0.5854148170876295
Dst Port,ACK Flag Cnt,0.5780621439309294
Fwd Pkt Len Std,Pkt Len Mean,0.5730033387335167
PSH Flag Cnt,Fwd Act Data Pkts,0.5719090449840484
Pkt Len Var,Pkt Size Avg,0.5713378222381861
Pkt Len Var,Bwd Seg Size Avg,0.5705174607095784
Bwd Pkt Len Mean,Pkt Len Var,0.5705174607095784
Pkt Size Avg,Fwd Seg Size Avg,0.5682396873592959
Fwd Pkt Len Mean,Pkt Size Avg,0.5682396873592959
PSH Flag Cnt,Init Fwd Win Byts,0.5670472258679833
Pkt Len Std,Fwd Act Data Pkts,0.5598981605757627
Flow IAT Max,Bwd IAT Max,0.5586310504204071
Bwd IAT Tot,Idle Max,0.5577507593274088
Fwd Pkt Len Mean,Pkt Len Mean,0.5575171855670288
Pkt Len Mean,Fwd Seg Size Avg,0.5575171855670288
Bwd IAT Tot,Idle Mean,0.555613518466568
Fwd Pkt Len Max,Pkt Len Var,0.553276983096174
Flow Duration,Bwd IAT Mean,0.5511468321508115
Fwd Pkt Len Max,Pkt Len Mean,0.5508142359832091
Bwd IAT Mean,Bwd IAT Std,0.5505499476239838
PSH Flag Cnt,ACK Flag Cnt,0.5498225970934655
Flow IAT Std,Fwd IAT Tot,0.5483286790963167
Fwd IAT Tot,Fwd IAT Mean,0.5429869621658489
Fwd Pkt Len Std,Pkt Size Avg,0.5423461023311241
Bwd Pkt Len Std,Fwd Act Data Pkts,0.5412243393879377
Flow IAT Std,Fwd IAT Max,0.5399550049823828
Protocol,PSH Flag Cnt,0.5394476752787799
Flow Duration,Fwd IAT Mean,0.5376914073032366
Bwd IAT Tot,Idle Min,0.5370714639325048
Fwd Pkt Len Std,Pkt Len Var,0.5368291103906331
Flow IAT Std,Bwd IAT Tot,0.5358364395762433
Fwd IAT Max,Bwd IAT Max,0.5339192159163503
Fwd IAT Tot,Bwd IAT Mean,0.5243435660463598
Fwd Pkt Len Max,Pkt Size Avg,0.5205422533072755
Fwd Pkt Len Mean,Pkt Len Var,0.5194666889062962
Pkt Len Var,Fwd Seg Size Avg,0.5194666889062962
Bwd Pkt Len Std,Pkt Len Var,0.5144515728381098
Fwd Pkt Len Mean,Fwd Act Data Pkts,0.5118408964810388
Fwd Seg Size Avg,Fwd Act Data Pkts,0.5118408964810388
Fwd Seg Size Avg,Init Bwd Win Byts,0.5093242442029453
Fwd Pkt Len Mean,Init Bwd Win Byts,0.5093242442029453
Flow IAT Max,Bwd IAT Std,0.5059037438289838
Fwd Pkt Len Max,Init Bwd Win Byts,0.5032681313113063
Pkt Len Min,PSH Flag Cnt,0.5019925505073721
Init Fwd Win Byts,Fwd Act Data Pkts,0.4930169136013835
Bwd Pkt Len Min,PSH Flag Cnt,0.4924534168851923
Fwd Pkt Len Min,PSH Flag Cnt,0.49221845889710414
Bwd Pkt Len Std,Init Bwd Win Byts,0.48865889995403766
Bwd Pkt Len Max,Init Bwd Win Byts,0.4878559841953781
PSH Flag Cnt,Fwd Seg Size Avg,0.48782896084189487
Fwd Pkt Len Mean,PSH Flag Cnt,0.48782896084189475
Fwd IAT Max,Bwd IAT Std,0.4873669031208611
Pkt Len Max,Init Bwd Win Byts,0.47857368007516204
Bwd Pkt Len Max,Pkt Len Var,0.47706736357181245
Flow Duration,Flow IAT Mean,0.47602220558163066
Fwd Pkt Len Std,Bwd Seg Size Avg,0.4760123224756223
Fwd Pkt Len Std,Bwd Pkt Len Mean,0.4760123224756222
Flow Byts/s,Fwd Pkts/s,0.473965065245619
Flow IAT Mean,Fwd IAT Tot,0.4710664852405253
Fwd Pkts/s,Bwd Pkts/s,0.45897829066229634
ACK Flag Cnt,URG Flag Cnt,0.456551387457213
Bwd Pkt Len Max,ACK Flag Cnt,0.4509745067160823
Fwd Pkt Len Max,Bwd Pkt Len Mean,0.44927493892460996
Fwd Pkt Len Max,Bwd Seg Size Avg,0.44927493892460996
Fwd Act Data Pkts,Fwd Seg Size Min,0.44916640957644743
ACK Flag Cnt,Fwd Seg Size Avg,0.44742421858632575
Fwd Pkt Len Mean,ACK Flag Cnt,0.44742421858632564
Bwd IAT Mean,Idle Max,0.4426398380082858
Bwd IAT Mean,Idle Mean,0.4412913766880032
Pkt Len Max,ACK Flag Cnt,0.43987553066411805
Pkt Len Mean,PSH Flag Cnt,0.4378078635760956
Bwd IAT Tot,Pkt Len Std,0.43604879457025986
Fwd Pkt Len Mean,Bwd Pkt Len Mean,0.43068982875049083
Bwd Pkt Len Mean,Fwd Seg Size Avg,0.43068982875049083
Fwd Seg Size Avg,Bwd Seg Size Avg,0.43068982875049083
Fwd Pkt Len Mean,Bwd Seg Size Avg,0.43068982875049083
Fwd IAT Mean,Idle Min,0.4283471543677493
Bwd IAT Mean,Idle Min,0.4283212411809292
Fwd IAT Mean,Idle Mean,0.42603082422083965
Pkt Len Std,Init Bwd Win Byts,0.42487094303037565
Pkt Len Mean,Fwd Act Data Pkts,0.4247675687264495
Fwd IAT Mean,Idle Max,0.4184013454247205
ACK Flag Cnt,Pkt Size Avg,0.41767755850146726
Flow Byts/s,Flow Pkts/s,0.4162537928334487
Dst Port,URG Flag Cnt,0.4131586011774627
Fwd Pkt Len Max,Init Fwd Win Byts,0.4116053491189261
Pkt Len Std,ACK Flag Cnt,0.4114717457391572
Fwd IAT Tot,Fwd IAT Min,0.4102300633204894
Fwd IAT Std,Bwd IAT Mean,0.4064200681768756
Flow Duration,Fwd IAT Min,0.40548348900489783
Bwd Pkt Len Mean,PSH Flag Cnt,0.40321208816224374
PSH Flag Cnt,Bwd Seg Size Avg,0.4032120881622437
Flow IAT Min,Fwd IAT Tot,0.40127808221600764
Bwd IAT Max,Pkt Len Std,0.4011755423445116
Flow IAT Mean,Idle Min,0.40064927438306935
Flow IAT Max,Bwd IAT Tot,0.3993468295538568
Bwd IAT Max,Bwd Seg Size Avg,0.3971848578059226
Bwd Pkt Len Mean,Bwd IAT Max,0.3971848578059226
Flow IAT Mean,Idle Mean,0.3968432401911851
Flow Duration,Flow IAT Min,0.39646124714274894
Protocol,Bwd Pkt Len Std,0.3963087539159326
Fwd IAT Max,Bwd IAT Tot,0.3960866160971004
Bwd Pkt Len Std,ACK Flag Cnt,0.3948666320951884
Bwd Pkt Len Std,Bwd IAT Tot,0.3923701125341585
Bwd IAT Tot,Pkt Len Max,0.39164513629575815
Protocol,Fwd Pkt Len Std,0.39052493122037596
Fwd Pkt Len Std,ECE Flag Cnt,0.39009229950461133
Fwd Pkt Len Std,RST Flag Cnt,0.39008177898547464
Bwd IAT Max,Pkt Len Mean,0.3896167045032503
Flow IAT Mean,Idle Max,0.38899160739912075
Bwd Pkt Len Mean,Bwd IAT Tot,0.3885322144209788
Bwd IAT Tot,Bwd Seg Size Avg,0.3885322144209788
Bwd Pkt Len Max,Bwd IAT Tot,0.3874554849421921
Fwd IAT Std,Pkt Len Std,0.38688041348041113
PSH Flag Cnt,Pkt Size Avg,0.3866721821018744
Protocol,Down/Up Ratio,0.38591512551459484
Fwd Pkt Len Max,ACK Flag Cnt,0.38568466490995107
Bwd IAT Tot,Pkt Len Mean,0.383076079352528
Pkt Len Mean,ACK Flag Cnt,0.3829972090995483
Bwd Pkt Len Mean,ACK Flag Cnt,0.38103239233444397
ACK Flag Cnt,Bwd Seg Size Avg,0.38103239233444386
Pkt Size Avg,Fwd Act Data Pkts,0.3808579341047991
Bwd IAT Std,Pkt Len Std,0.3804634789567526
Protocol,Init Fwd Win Byts,0.3799219887142901
Bwd Pkt Len Std,Bwd IAT Std,0.37613487692938863
PSH Flag Cnt,Init Bwd Win Byts,0.3716272418690495
Bwd IAT Tot,Active Std,0.37015686933974773
Bwd Pkt Len Mean,Fwd IAT Std,0.3689628059035579
Fwd IAT Std,Bwd Seg Size Avg,0.3689628059035578
Bwd Pkt Len Std,Pkt Len Min,0.36886858153174085
Bwd IAT Max,Pkt Size Avg,0.36778292869189955
Pkt Len Var,Fwd Act Data Pkts,0.3676927840301064
Bwd Pkt Len Std,Fwd IAT Std,0.36688200109626246
Fwd Pkt Len Std,Pkt Len Min,0.3628699703974847
Bwd Pkt Len Std,Bwd IAT Max,0.3627198039101776
Bwd Pkt Len Max,Init Fwd Win Byts,0.36224774485881406
Bwd Pkt Len Min,Bwd Pkt Len Std,0.3615216658792545
Fwd Pkt Len Min,Bwd Pkt Len Std,0.36130115938334806
Bwd Pkt Len Min,Down/Up Ratio,0.35904364338096856
Pkt Len Max,Init Fwd Win Byts,0.35644888234888117
Bwd IAT Tot,Pkt Size Avg,0.3564340767917994
Fwd Seg Size Avg,Subflow Fwd Byts,0.3563371751538032
TotLen Fwd Pkts,Fwd Seg Size Avg,0.3563371751538032
Fwd Pkt Len Mean,Subflow Fwd Byts,0.3563371751538032
TotLen Fwd Pkts,Fwd Pkt Len Mean,0.3563371751538032
Fwd Pkt Len Std,Bwd Pkt Len Min,0.3554120500564325
Fwd Pkt Len Min,Fwd Pkt Len Std,0.35515212824695647
Pkt Len Min,Init Fwd Win Byts,0.35320568508229744
Fwd Pkt Len Std,ACK Flag Cnt,0.35275591945665563
Bwd IAT Std,Pkt Len Max,0.352177069395744
Bwd Pkt Len Max,Bwd IAT Std,0.35208600384877625
Bwd Pkt Len Max,Bwd IAT Max,0.3504026510215237
Bwd IAT Max,Pkt Len Max,0.34928823763558403
Bwd IAT Tot,Fwd Act Data Pkts,0.3476136885498882
Fwd IAT Std,Pkt Len Mean,0.3474141951992496
Bwd Pkt Len Min,Init Fwd Win Byts,0.34656641443187836
Fwd Pkt Len Min,Init Fwd Win Byts,0.3459109445485601
Fwd Pkt Len Max,ECE Flag Cnt,0.3444032753173445
Fwd Pkt Len Max,RST Flag Cnt,0.34439319655379336
Bwd Seg Size Avg,Fwd Act Data Pkts,0.34321628343096106
Bwd Pkt Len Mean,Fwd Act Data Pkts,0.343216283430961
Protocol,Pkt Len Max,0.3421078030414937
Protocol,Bwd Pkt Len Max,0.3419513351930809
Bwd Pkts/s,Fwd Seg Size Min,0.33991484614454026
Flow Duration,Pkt Len Std,0.3389394962766128
Fwd Pkt Len Mean,ECE Flag Cnt,0.3387382822502138
ECE Flag Cnt,Fwd Seg Size Avg,0.33873828225021374
RST Flag Cnt,Fwd Seg Size Avg,0.338727076293444
Fwd Pkt Len Mean,RST Flag Cnt,0.338727076293444
Fwd Pkt Len Std,Init Fwd Win Byts,0.3368416003119535
Fwd IAT Min,Idle Min,0.3361622015424023
Fwd IAT Tot,Pkt Len Std,0.33581834656214565
Bwd Pkt Len Max,Fwd IAT Std,0.333395965883309
Fwd IAT Std,Pkt Len Max,0.3332932325556701
Fwd Pkt Len Max,Fwd Seg Size Min,0.3322942308280939
Fwd IAT Std,Pkt Size Avg,0.33214526046990467
Pkt Len Min,Down/Up Ratio,0.3316315017569725
Fwd IAT Min,Idle Mean,0.33026310106465445
Bwd IAT Tot,Active Max,0.329768461043688
Fwd Pkt Len Max,Subflow Fwd Byts,0.3292825143053259
TotLen Fwd Pkts,Fwd Pkt Len Max,0.32928251430532585
Fwd Pkt Len Min,Down/Up Ratio,0.32888134398785196
Protocol,Fwd Pkt Len Max,0.32884241730817937
Flow IAT Max,Bwd IAT Mean,0.3255624686119223
Flow Duration,Active Std,0.3243216829026219
SYN Flag Cnt,ACK Flag Cnt,0.32382840585181977
Fwd PSH Flags,ACK Flag Cnt,0.32382840585181977
Bwd Pkt Len Max,ECE Flag Cnt,0.3234151376191705
Bwd Pkt Len Max,RST Flag Cnt,0.3234047856074544
Flow IAT Min,Idle Min,0.32332661990296363
Fwd IAT Min,Idle Max,0.32136074091627576
Fwd IAT Tot,Active Std,0.3181684557739287
Bwd Pkt Len Mean,Bwd IAT Std,0.31723573847772574
Bwd IAT Std,Bwd Seg Size Avg,0.31723573847772574
Flow IAT Min,Idle Mean,0.31720624055233493
Pkt Len Max,ECE Flag Cnt,0.3165191697290256
Pkt Len Max,RST Flag Cnt,0.31650890822132954
Bwd Pkt Len Max,Pkt Len Min,0.3157552046347143
Bwd Pkt Len Std,ECE Flag Cnt,0.31419928178959716
Bwd Pkt Len Std,RST Flag Cnt,0.3141897718030808
Protocol,Fwd Act Data Pkts,0.3136127218414814
Pkt Len Min,Pkt Len Max,0.31348094029243195
Protocol,ACK Flag Cnt,0.31198870158874
Dst Port,PSH Flag Cnt,0.3113694736171919
Flow Duration,Bwd Pkt Len Mean,0.31006774172691326
Flow Duration,Bwd Seg Size Avg,0.31006774172691326
Fwd Pkt Len Min,Bwd Pkt Len Max,0.3099063017070128
Flow IAT Min,Idle Max,0.30842578593983655
Bwd IAT Max,Idle Std,0.30830106092898374
Flow IAT Std,Bwd IAT Min,0.307390837147587
Protocol,Pkt Len Std,0.306620529947517
ACK Flag Cnt,Fwd Act Data Pkts,0.30611654750341105
Fwd Pkt Len Min,Pkt Len Max,0.30569924788586905
Bwd Pkt Len Mean,Fwd IAT Tot,0.30555856015399596
Fwd IAT Tot,Bwd Seg Size Avg,0.30555856015399596
Flow Duration,Bwd Pkt Len Std,0.3045631207275241
Flow Duration,Active Max,0.30368982630194347
Bwd IAT Max,Active Std,0.3027288542119183
Bwd Pkt Len Std,Fwd IAT Tot,0.30222804577985146
Flow Duration,Pkt Len Mean,0.30144058821837694
Pkt Len Var,PSH Flag Cnt,0.2986259052895629
Fwd Pkt Len Max,Bwd Pkt Len Min,0.29739302118844846
Fwd IAT Tot,Pkt Len Mean,0.29612208375004045
Bwd Pkt Len Std,Init Fwd Win Byts,0.2960629466070745
Bwd IAT Std,Pkt Len Mean,0.29563313423242576
Pkt Len Min,Fwd Act Data Pkts,0.29296272415095237
Fwd Pkt Len Max,Pkt Len Min,0.29232578751227845
Subflow Fwd Byts,Fwd Act Data Pkts,0.29145446736449754
TotLen Fwd Pkts,Fwd Act Data Pkts,0.29145446736449754
Bwd Pkt Len Min,Pkt Len Max,0.29131983899169905
Pkt Len Min,Pkt Len Std,0.2903008509700108
Bwd Pkt Len Max,Bwd Pkt Len Min,0.2892988058808598
Bwd Pkt Len Min,Fwd Act Data Pkts,0.28830298686214556
Flow Duration,Pkt Len Max,0.2877503785062839
Pkt Len Min,ACK Flag Cnt,0.2871541719238318
Flow IAT Std,Pkt Len Std,0.287049701693918
Fwd IAT Tot,Pkt Len Max,0.28673559978073304
Fwd Pkt Len Min,Fwd Act Data Pkts,0.2854248010915631
Fwd Pkt Len Std,Fwd Seg Size Min,0.2841904338044028
Flow Duration,Bwd Pkt Len Max,0.2835964308192413
Fwd Pkt Len Max,Fwd Pkt Len Min,0.28301361071898257
Fwd Pkt Len Min,Pkt Len Std,0.282583085662862
Bwd Pkt Len Max,Fwd IAT Tot,0.2824658040857851
Bwd Pkt Len Max,Fwd Seg Size Min,0.2824048980611619
Fwd IAT Max,Bwd IAT Mean,0.2822489478582044
Fwd IAT Tot,Active Max,0.2801894279004711
Pkt Len Max,Fwd Seg Size Min,0.27887534885141624
Bwd IAT Tot,Pkt Len Var,0.2788654597944187
Bwd Pkt Len Min,ACK Flag Cnt,0.27872035121162336
Bwd Pkt Len Std,Flow IAT Std,0.27859934595040897
Bwd Header Len,Pkt Len Mean,0.2770944114851504
Idle Std,Idle Max,0.27676987675925957
Bwd IAT Std,Pkt Size Avg,0.276514151458566
Fwd Header Len,Fwd Act Data Pkts,0.27537278259160575
Bwd IAT Max,Active Max,0.2746463267385605
Fwd Pkt Len Min,ACK Flag Cnt,0.2734203080177759
Flow Duration,Pkt Size Avg,0.27230039787001165
Pkt Len Mean,Subflow Bwd Pkts,0.27185056929351675
Tot Bwd Pkts,Pkt Len Mean,0.27185056929351675
Pkt Len Std,ECE Flag Cnt,0.27168466891871945
Pkt Len Std,RST Flag Cnt,0.27167529345345337
Pkt Len Mean,Subflow Fwd Pkts,0.27068264618354837
Tot Fwd Pkts,Pkt Len Mean,0.27068264618354837
Bwd IAT Std,Active Std,0.26925157586458054
Fwd IAT Tot,Pkt Size Avg,0.26763266009563264
Pkt Len Mean,Init Bwd Win Byts,0.2675935591718083
Flow Pkts/s,Fwd Seg Size Min,0.2652862129221734
Bwd IAT Max,Pkt Len Var,0.2651466688037194
Active Mean,Active Std,0.264762746360864
Bwd Header Len,Pkt Size Avg,0.26289104078222963
Bwd Pkt Len Mean,Flow IAT Std,0.26071271140289615
Flow IAT Std,Bwd Seg Size Avg,0.26071271140289615
Fwd Header Len,Pkt Len Mean,0.2601504734978034
Tot Bwd Pkts,Pkt Size Avg,0.25914956560880703
Pkt Size Avg,Subflow Bwd Pkts,0.259149565608807
Fwd IAT Std,Pkt Len Var,0.25774029151199046
