,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Fwd IAT Std,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Min,Fwd PSH Flags,Bwd Pkts/s,Pkt Len Var,FIN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,Down/Up Ratio,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Idle Mean,Idle Std
Bwd Pkt Len Min,-0.1907750099720008,0.8497743706586434,-0.18151874074895785,-0.05154122298130992,-0.01975943752925406,-0.019079131859136435,-0.29739302118844846,0.7948228164602148,-0.04898693130712632,-0.2892988058808598,1.0,0.026949792446394158,-0.011793847147330666,-0.10403499635260512,-0.11410274890309734,-0.11178385747900307,-0.16054005236842342,-0.11050666594663047,-0.14403455225954082,-0.10839669875929173,-0.13045810278445802,-0.017414349362647828,-0.0782442293788308,-0.08907296960840001,-0.14103534553874242,-0.032604932263104194,-0.11681436678852015,-0.4924534168851923,-0.27872035121162336,-0.13003023963093518,0.35904364338096856,-0.34656641443187836,-0.1962534569740942,-0.28830298686214556,-0.6284344094462603,-0.05011870166074949,-0.054987664829464156,-0.06745026886841408,-0.11387285707719064,-0.03612571493143228
Bwd Pkt Len Mean,-0.2280389789725629,-0.04719687218895183,0.31006774172691326,0.24568016353847905,0.23422661252267132,0.03260598836492569,0.44927493892460996,-0.036979596334287414,0.43068982875049083,0.7191121266545905,0.026949792446394158,1.0,-0.036042472324856585,-0.14773999960061748,-0.11903749180806728,0.26071271140289615,0.209343270802125,0.3689628059035579,0.3885322144209788,0.11644454797527336,0.31723573847772574,-0.025183250968025143,-0.10926275811634323,-0.12765294737494703,0.5705174607095784,-0.045335630601632454,0.13110764920600418,0.40321208816224374,-0.38103239233444397,-0.1806499224572722,0.12034956707265988,0.06632091583584289,0.2162365004236432,0.343216283430961,-0.03532355235298317,0.12677835124983747,0.2091055834516844,0.2002760002801523,0.24629447084661443,0.10836043714126191
Flow Byts/s,0.10806840886313011,-0.013978288112473421,-0.0265086496903581,-0.006604911109571983,-0.003793940255386638,0.005342265862643936,-0.03331440767682162,0.017442206349695503,-0.010728328742955498,-0.04810274130678849,-0.011793847147330666,-0.036042472324856585,1.0,0.4162537928334487,-0.016580374175073,-0.018493495086643805,-0.024032081666654694,-0.01778923475516085,-0.02074654718442459,-0.016986519250717508,-0.018843961999626953,-0.004264054483718543,0.24759633052762187,0.14068656015412087,-0.013387228865109025,-0.0046058204545428435,-0.016432897466372907,-0.05472074230691166,0.08258179629491205,-0.018121161297435632,-0.0083348971361094,-0.037945013280210466,-0.027219200779520517,-0.033694216436254976,-0.009162917844181709,-0.007149023481293629,-0.007752066747145842,-0.009574534855472891,-0.017694457001345965,-0.005117034046739728
Flow Pkts/s,0.16935804253154307,-0.11283438077160902,-0.07958637181875884,-0.02685459398925647,-0.015057264301955468,-0.008929676902596086,-0.15212545993554444,-0.0924423808535691,-0.17748814129789017,-0.1735272845698172,-0.10403499635260512,-0.14773999960061748,0.4162537928334487,1.0,-0.04967573904692548,-0.055452318499615176,-0.0721300014603498,-0.0533538939641835,-0.06234517550286366,-0.05092755316337739,-0.05652391703210034,-0.012783896427576751,0.10101050622743665,0.733886509592809,-0.06504821760974971,0.04454874511374708,-0.04943571960853117,-0.004809097148732814,0.12668826984523024,0.07857807013447449,0.0361552265255559,0.0907225471208726,-0.08021752011352606,-0.12710591920425127,0.2652862129221734,-0.021623334500670173,-0.023346093232704205,-0.02890614572044309,-0.05313687261270366,-0.015377587110741026
Flow IAT Mean,-0.05777518005802846,-0.18179738561462314,0.47602220558163066,-0.01877503157944474,-0.014331728766397893,-0.007700646771351163,-0.13008324300754684,-0.07992560318806761,-0.15986243274219822,-0.13775658313314137,-0.11410274890309734,-0.11903749180806728,-0.016580374175073,-0.04967573904692548,1.0,0.0973504139819616,0.7460845379696676,0.042578439666513486,0.015459855547856975,0.05058333960202382,0.010004732710725849,0.05299900450825061,-0.021800538282107203,-0.04331790405276381,-0.04409867663261169,-0.014342901245683666,-0.04827923088246071,-0.1737553172828867,0.21514054820935288,-0.05433302050304242,-0.19299365713808841,-0.07518040629255927,-0.07964178073960304,-0.10309331971429261,-0.10479489337895731,0.0022910441669571967,0.00031652250318788667,0.001628419634446957,0.3968432401911851,0.013481583829318055
Flow IAT Std,-0.08156473820903325,-0.13635595701074482,0.5956095391479489,0.028806353362162737,0.014438858873167322,0.00805974615916863,0.11739764688664397,-0.11389768575578955,0.08979496786488829,0.24547573054699165,-0.11178385747900307,0.26071271140289615,-0.018493495086643805,-0.055452318499615176,0.0973504139819616,1.0,0.62342176530787,0.8210363907363368,0.5358364395762433,0.586093811415751,0.6091925455828067,0.307390837147587,0.06866629129417405,-0.04835478957536387,0.190374497906383,-0.01646140936871568,-0.02770178386344126,0.1592605349285442,-0.04927552164882716,-0.060889079371119245,-0.025762416451792267,-0.00926608642513505,-0.035947146140028655,0.11652109570533475,0.002405094282140908,0.14841847057334076,0.18300661056771628,0.18463676190893483,0.6415976970722027,0.2050010824192996
Flow IAT Max,-0.09650547591355912,-0.22226156956828286,0.7489005891309628,0.0514911608157228,0.05047393949104961,0.005239868118168474,0.019714948142550252,-0.13832591092875376,-0.011403333832942517,0.13281796557841002,-0.16054005236842342,0.209343270802125,-0.024032081666654694,-0.0721300014603498,0.7460845379696676,0.62342176530787,1.0,0.6402783884224322,0.3993468295538568,0.3255624686119223,0.5059037438289838,0.11470920989674052,0.003193670596157947,-0.06289761505758759,0.1617744667120707,-0.021219231575682812,-0.05009352056404303,0.013949579816021651,0.09136218232386535,-0.08049958396596424,-0.11637292353818807,-0.05045942688234925,-0.0805479371922359,0.03635723373779591,-0.06753573495921683,0.15171524015084012,0.16950090158216502,0.16719381333499567,0.7392580960524925,0.20704724227315832
Fwd IAT Std,-0.07955136823628878,-0.13326213213321186,0.6259953785478702,0.04034104102123634,0.022530468367617434,0.01210399681781187,0.16770734299153914,-0.11444719489214095,0.1422636017480951,0.333395965883309,-0.11050666594663047,0.3689628059035579,-0.01778923475516085,-0.0533538939641835,0.042578439666513486,0.8210363907363368,0.6402783884224322,1.0,0.585758916872179,0.4064200681768756,0.7139308789463357,0.034202155302116705,0.06759511710217621,-0.046524901690071445,0.25774029151199046,-0.015893712784933376,-0.021120216115805595,0.18897803924916137,-0.07750771500669665,-0.06052238158711584,-0.036135747633127886,0.002899220125275466,-0.021249095777262965,0.1546905622187584,0.009565798916127622,0.13761381373988874,0.21763173621645018,0.184318491216404,0.6213465594982063,0.21593505938337687
Bwd IAT Tot,-0.10135676375127173,-0.16094793642069583,0.8434257863972762,0.13986189089581313,0.11498014873770361,0.018808893006913026,0.21751750491472643,-0.144837323644209,0.0727941606526104,0.3874554849421921,-0.14403455225954082,0.3885322144209788,-0.02074654718442459,-0.06234517550286366,0.015459855547856975,0.5358364395762433,0.3993468295538568,0.585758916872179,1.0,0.6549638966092282,0.7559882497182439,0.1213543963852788,-0.01404050871621144,-0.054364700006082185,0.2788654597944187,-0.018844781882384438,-0.034789161368948905,0.2509526968897362,-0.11299230387541104,-0.07489360790640187,0.02809100144885225,0.00032205641166972005,-0.0346192491358154,0.3476136885498882,0.021296970661741858,0.1640289699950674,0.37015686933974773,0.329768461043688,0.555613518466568,0.16218494178702744
Bwd IAT Mean,-0.079244533300041,-0.12392244946068964,0.5511468321508115,0.023989085026791274,0.00826890069829613,0.004655306383116065,0.10735871936653021,-0.10709213503738413,0.031418369930135026,0.1936034145506444,-0.10839669875929173,0.11644454797527336,-0.016986519250717508,-0.05092755316337739,0.05058333960202382,0.586093811415751,0.3255624686119223,0.4064200681768756,0.6549638966092282,1.0,0.5505499476239838,0.7494072716062194,0.019184744074561378,-0.044409034704891645,0.10470601565121437,-0.015361881033322507,-0.005393379323198002,0.16404791379124958,-0.0712229882391917,-0.05863629163752308,-0.00717486074053784,-0.011488955541187392,-0.0036909545962168235,0.15353831306811927,-0.000416061000548625,0.0949916068499876,0.17002251893186543,0.16309224374807754,0.4412913766880032,0.1253906618155625
Bwd IAT Std,-0.08967835565224519,-0.1426449494710259,0.6319378427240149,0.04511816684847828,0.025174112655552534,0.010674466142824806,0.15754745930966804,-0.1298125327710982,0.08791224855183505,0.35208600384877625,-0.13045810278445802,0.31723573847772574,-0.018843961999626953,-0.05652391703210034,0.010004732710725849,0.6091925455828067,0.5059037438289838,0.7139308789463357,0.7559882497182439,0.5505499476239838,1.0,-0.003524168303213329,-0.017294180322475785,-0.04928894588235851,0.23141902706487597,-0.0170750024161129,-0.009991740278968863,0.24836163170813505,-0.1265937673406585,-0.06815766461268725,0.03829428406704115,0.00039558383126958536,-0.01320187737298351,0.18412966261838856,0.021290642510347988,0.16517008062713706,0.26925157586458054,0.22467643398349582,0.6652238705285807,0.23257045379633495
Bwd IAT Min,-0.01707136392742963,-0.026412930796575307,0.10187595999520557,-0.00348063097417699,-0.0024749845553435996,-0.0015005688007326623,-0.022238800593316104,-0.01674449553878283,-0.01679580190056476,-0.028006855453697986,-0.017414349362647828,-0.025183250968025143,-0.004264054483718543,-0.012783896427576751,0.05299900450825061,0.307390837147587,0.11470920989674052,0.034202155302116705,0.1213543963852788,0.7494072716062194,-0.003524168303213329,1.0,0.03490317199924885,-0.011147591192487144,-0.0120644566964212,-0.0038340788883994116,0.0035082077528109995,-0.013997820655075507,0.017464123318668756,-0.011696068918292493,0.006604246065587345,-0.015241824495085123,0.004139062254473164,-0.012621365745207936,-0.021699895231672952,0.012752146903377583,0.003892248721379568,0.010126829114001276,0.1539946304264943,0.030090667205181647
Fwd PSH Flags,0.1567960693037411,-0.10103080387925928,-0.009250184149508522,0.02723389785414942,0.030256823201864375,-0.0032536173798372627,-0.09641288178953074,-0.06910659367088842,-0.0627271992420516,-0.13984337015776993,-0.0782442293788308,-0.10926275811634323,0.24759633052762187,0.10101050622743665,-0.021800538282107203,0.06866629129417405,0.003193670596157947,0.06759511710217621,-0.01404050871621144,0.019184744074561378,-0.017294180322475785,0.03490317199924885,1.0,0.006973286103117232,-0.04788668394037219,-0.01180842105673309,-0.04228756379599124,-0.17827135356379245,0.32382840585181977,-0.03344523285215448,-0.14343162370576595,-0.1120860964851127,-0.06983424782082527,-0.07031821793654007,0.013588484617685588,-0.00011419021938322882,-0.010112065839318266,-0.005778184092715032,0.034738340871537356,0.009685989432160777
Bwd Pkts/s,-0.026857342235562996,-0.09698699345842798,-0.06939941190337247,-0.024934538011076385,-0.012541063339033503,-0.007811912400982347,-0.13461499176174488,-0.07028909165057018,-0.15840900799932317,-0.15042687103927938,-0.08907296960840001,-0.12765294737494703,0.14068656015412087,0.733886509592809,-0.04331790405276381,-0.04835478957536387,-0.06289761505758759,-0.046524901690071445,-0.054364700006082185,-0.044409034704891645,-0.04928894588235851,-0.011147591192487144,0.006973286103117232,1.0,-0.05665021073107655,-0.009467916146361489,-0.04310554971654312,0.08442378451803839,0.0129346407532516,0.1255874916580849,0.14050397412701196,0.16703119100144068,-0.0686417953922052,-0.11324409650337747,0.33991484614454026,-0.0188549346078624,-0.02035757361020032,-0.0252055757013205,-0.04633552036177045,-0.013409246367891144
Pkt Len Var,-0.09191739018333049,-0.16103389655873332,0.2390963847073341,0.13751580741851555,0.11984307476853032,0.6819269159371529,0.553276983096174,-0.1461998940956515,0.5194666889062962,0.47706736357181245,-0.14103534553874242,0.5705174607095784,-0.013387228865109025,-0.06504821760974971,-0.04409867663261169,0.190374497906383,0.1617744667120707,0.25774029151199046,0.2788654597944187,0.10470601565121437,0.23141902706487597,-0.0120644566964212,-0.04788668394037219,-0.05665021073107655,1.0,-0.019811989264806706,0.10019538179549976,0.2986259052895629,-0.16333091432215271,-0.07894573826743623,0.005460105309264574,0.07925177406822259,0.16760380738805414,0.3676927840301064,0.06729350249356696,0.07869233809943502,0.134652686343915,0.12723900115102357,0.17553047523183818,0.07412898188016746
FIN Flag Cnt,0.0899875614369107,-0.03573218669418703,-0.023766819959466664,-0.007885324262225404,-0.004519822361507135,-0.002760788400442814,-0.04763408550204137,-0.03260379583348402,-0.05879717583914961,-0.05294659841546254,-0.032604932263104194,-0.045335630601632454,-0.0046058204545428435,0.04454874511374708,-0.014342901245683666,-0.01646140936871568,-0.021219231575682812,-0.015893712784933376,-0.018844781882384438,-0.015361881033322507,-0.0170750024161129,-0.0038340788883994116,-0.01180842105673309,-0.009467916146361489,-0.019811989264806706,1.0,-0.014956103152525645,-0.06305032765432718,0.03183975088801418,-0.016648172055657426,0.018434998774663945,-0.0443813431278556,-0.023481124327094458,-0.03946866827522097,0.004805923051256158,-0.006319921329470329,-0.007061994201958921,-0.008570510743150914,-0.01589085512438824,-0.004651547270829821
RST Flag Cnt,-0.03873732459310385,-0.12796182632218064,-0.056454457228991305,0.007286183361672879,-0.0024321592560875146,0.01119703380433075,0.34439319655379336,-0.1167586326466497,0.338727076293444,0.3234047856074544,-0.11681436678852015,0.13110764920600418,-0.016432897466372907,-0.04943571960853117,-0.04827923088246071,-0.02770178386344126,-0.05009352056404303,-0.021120216115805595,-0.034789161368948905,-0.005393379323198002,-0.009991740278968863,0.0035082077528109995,-0.04228756379599124,-0.04310554971654312,0.10019538179549976,-0.014956103152525645,1.0,0.23720896796164342,-0.13056999632343183,-0.059619371168075766,-0.1359367172259316,0.00010021091821347688,0.6204040043003866,0.06664712868137374,0.019361968226374943,0.02480904760376423,-0.013867613586023465,0.00915422057230568,-0.04994202193519893,-0.008100617685307121
PSH Flag Cnt,-0.3113694736171919,-0.5394476752787799,0.13863169238891931,0.10384349297299421,0.052809309190706005,0.038984515168838094,0.6599784969260755,-0.49221845889710414,0.48782896084189475,0.7312938902711565,-0.4924534168851923,0.40321208816224374,-0.05472074230691166,-0.004809097148732814,-0.1737553172828867,0.1592605349285442,0.013949579816021651,0.18897803924916137,0.2509526968897362,0.16404791379124958,0.24836163170813505,-0.013997820655075507,-0.17827135356379245,0.08442378451803839,0.2986259052895629,-0.06305032765432718,0.23720896796164342,1.0,-0.5498225970934655,-0.2513369190060142,-0.07952313784377499,0.5670472258679833,0.3716272418690495,0.5719090449840484,0.6044547310845733,0.0719515656925198,0.0902429393402518,0.10247853955071488,0.06885613475359732,0.04865029017312573
ACK Flag Cnt,0.5780621439309294,-0.31198870158874,-0.029109923215921815,-0.041774367226150466,-0.01908173888983781,-0.02067476841254413,-0.38568466490995107,-0.2734203080177759,-0.44742421858632564,-0.4509745067160823,-0.27872035121162336,-0.38103239233444397,0.08258179629491205,0.12668826984523024,0.21514054820935288,-0.04927552164882716,0.09136218232386535,-0.07750771500669665,-0.11299230387541104,-0.0712229882391917,-0.1265937673406585,0.017464123318668756,0.32382840585181977,0.0129346407532516,-0.16333091432215271,0.03183975088801418,-0.13056999632343183,-0.5498225970934655,1.0,0.456551387457213,-0.2560495738090542,-0.22685999565280934,-0.18775277211024308,-0.30611654750341105,0.11018117722042188,-0.036210194419543394,-0.04421963106707165,-0.04970170813222982,-0.05858945400158166,-0.023429911154705437
URG Flag Cnt,0.4131586011774627,-0.14243887458131693,-0.09126460807368186,-0.034306442789678294,-0.017540364824003705,-0.010950834901443914,-0.18923160939305814,-0.12370518985167311,-0.23095889326566127,-0.2110084827571678,-0.13003023963093518,-0.1806499224572722,-0.018121161297435632,0.07857807013447449,-0.05433302050304242,-0.060889079371119245,-0.08049958396596424,-0.06052238158711584,-0.07489360790640187,-0.05863629163752308,-0.06815766461268725,-0.011696068918292493,-0.03344523285215448,0.1255874916580849,-0.07894573826743623,-0.016648172055657426,-0.059619371168075766,-0.2513369190060142,0.456551387457213,1.0,0.17124996021873962,-0.1228761051144852,-0.054644331246147614,-0.15551594333623142,0.139645928880429,-0.01528471617119209,-0.028151160046144368,-0.02639097466529872,-0.06128489353955863,-0.008149788810575659
Down/Up Ratio,-0.14829436633898896,0.38591512551459484,-0.08218499013688259,0.029482329594492776,0.1314247490210159,0.0018402432306826846,-0.14659331588613272,0.32888134398785196,-0.059734040881429015,-0.09479019199082327,0.35904364338096856,0.12034956707265988,-0.0083348971361094,0.0361552265255559,-0.19299365713808841,-0.025762416451792267,-0.11637292353818807,-0.036135747633127886,0.02809100144885225,-0.00717486074053784,0.03829428406704115,0.006604246065587345,-0.14343162370576595,0.14050397412701196,0.005460105309264574,0.018434998774663945,-0.1359367172259316,-0.07952313784377499,-0.2560495738090542,0.17124996021873962,1.0,-0.04984054247941903,-0.23151300837819147,-0.0786011954639065,-0.09766969189692165,0.10429167429421012,0.04306308662876226,0.09467528749699915,-0.022782628514258853,0.04206833502124969
Init Fwd Win Byts,-0.10593277992144316,-0.3799219887142901,-0.03887072015769801,0.0733123232447206,0.02928026438823602,0.030504175384800332,0.4116053491189261,-0.3459109445485601,0.21561903665452195,0.36224774485881406,-0.34656641443187836,0.06632091583584289,-0.037945013280210466,0.0907225471208726,-0.07518040629255927,-0.00926608642513505,-0.05045942688234925,0.002899220125275466,0.00032205641166972005,-0.011488955541187392,0.00039558383126958536,-0.015241824495085123,-0.1120860964851127,0.16703119100144068,0.07925177406822259,-0.0443813431278556,0.00010021091821347688,0.5670472258679833,-0.22685999565280934,-0.1228761051144852,-0.04984054247941903,1.0,0.13849565135909686,0.4930169136013835,0.6296102783971038,0.002595234498699474,-0.0028724452164526656,0.0013031091408701497,-0.004653191308554478,-0.005929669443696504
Init Bwd Win Byts,-0.0395936198575334,-0.2151699187437718,-0.07264971097669672,0.011859570833518114,-0.0010922135444319065,0.01680455560054926,0.5032681313113063,-0.1962618243849544,0.5093242442029453,0.4878559841953781,-0.1962534569740942,0.2162365004236432,-0.027219200779520517,-0.08021752011352606,-0.07964178073960304,-0.035947146140028655,-0.0805479371922359,-0.021249095777262965,-0.0346192491358154,-0.0036909545962168235,-0.01320187737298351,0.004139062254473164,-0.06983424782082527,-0.0686417953922052,0.16760380738805414,-0.023481124327094458,0.6204040043003866,0.3716272418690495,-0.18775277211024308,-0.054644331246147614,-0.23151300837819147,0.13849565135909686,1.0,0.09404203192584919,0.03203418537333044,0.01983857105794389,-0.023612091848216245,0.003299942886922386,-0.07243603389480008,-0.018275811819900834
Fwd Act Data Pkts,-0.19172567721841202,-0.3136127218414814,0.24941305757286308,0.25078542384143626,0.17247544973244716,0.29145446736449754,0.7608473205790885,-0.2854248010915631,0.5118408964810388,0.6765318104026583,-0.28830298686214556,0.343216283430961,-0.033694216436254976,-0.12710591920425127,-0.10309331971429261,0.11652109570533475,0.03635723373779591,0.1546905622187584,0.3476136885498882,0.15353831306811927,0.18412966261838856,-0.012621365745207936,-0.07031821793654007,-0.11324409650337747,0.3676927840301064,-0.03946866827522097,0.06664712868137374,0.5719090449840484,-0.30611654750341105,-0.15551594333623142,-0.0786011954639065,0.4930169136013835,0.09404203192584919,1.0,0.44916640957644743,0.09090006287348969,0.16286549264207473,0.1685211063676708,0.11448385853892455,0.06621613754818367
